scenario,n,byzantine,quorum,total,committed,rejected,avg_latency_ns
valid_transition_7_nodes_2_byzantine_no,7,2,5,100,100,0,964
valid_transition_10_nodes_3_byzantine_no,10,3,7,100,100,0,1307
invalid_completion_7_nodes_2_byzantine_yes,7,2,5,100,0,100,1347
invalid_completion_10_nodes_3_byzantine_yes,10,3,7,100,0,100,3499
false_success_recovery_protected,4,1,3,100,0,100,644
false_failure_duplicate_retry_protected,4,1,3,100,0,100,667
valid_transition_4_nodes_1_byzantine_no,4,1,3,100,100,0,485
valid_transition_7_nodes_2_byzantine_no,7,2,5,100,100,0,901
valid_transition_10_nodes_3_byzantine_no,10,3,7,100,100,0,1302
invalid_completion_4_nodes_1_byzantine_yes,4,1,3,100,0,100,624
invalid_completion_7_nodes_2_byzantine_yes,7,2,5,100,0,100,1334
invalid_completion_10_nodes_3_byzantine_yes,10,3,7,100,0,100,3234
valid_transition_7_nodes_3_byzantine_no,7,3,5,100,0,100,1341
valid_transition_10_nodes_4_byzantine_no,10,4,7,100,0,100,6489
valid_transition_25_nodes_8_byzantine_no,25,8,17,100,100,0,22630
valid_transition_50_nodes_16_byzantine_no,50,16,34,100,100,0,88801
invalid_completion_25_nodes_8_byzantine_yes,25,8,17,100,0,100,69545
invalid_completion_50_nodes_16_byzantine_yes,50,16,34,100,0,100,222647
