scenario,n,byzantine,quorum,total,committed,rejected,avg_latency_ns
valid_transition_7_nodes_2_byzantine_no,7,2,5,100,100,0,1013
valid_transition_10_nodes_3_byzantine_no,10,3,7,100,100,0,1317
invalid_completion_7_nodes_2_byzantine_yes,7,2,5,100,0,100,1335
invalid_completion_10_nodes_3_byzantine_yes,10,3,7,100,0,100,3250
false_success_recovery_protected,4,1,3,100,0,100,638
false_failure_duplicate_retry_protected,4,1,3,100,0,100,683
valid_transition_4_nodes_1_byzantine_no,4,1,3,100,100,0,497
valid_transition_7_nodes_2_byzantine_no,7,2,5,100,100,0,988
valid_transition_10_nodes_3_byzantine_no,10,3,7,100,100,0,1417
invalid_completion_4_nodes_1_byzantine_yes,4,1,3,100,0,100,675
invalid_completion_7_nodes_2_byzantine_yes,7,2,5,100,0,100,1434
invalid_completion_10_nodes_3_byzantine_yes,10,3,7,100,0,100,3462
valid_transition_7_nodes_3_byzantine_no,7,3,5,100,0,100,1453
valid_transition_10_nodes_4_byzantine_no,10,4,7,100,0,100,4077
