scenario,n,byzantine,quorum,total,committed,rejected,avg_latency_ns
valid_transition_7_nodes_2_byzantine_no,7,2,5,100,100,0,772
valid_transition_10_nodes_3_byzantine_no,10,3,7,100,100,0,1092
invalid_completion_7_nodes_2_byzantine_yes,7,2,5,100,0,100,1088
invalid_completion_10_nodes_3_byzantine_yes,10,3,7,100,0,100,2959
false_success_recovery_protected,4,1,3,100,0,100,488
false_failure_duplicate_retry_protected,4,1,3,100,0,100,471
valid_transition_4_nodes_1_byzantine_no,4,1,3,100,100,0,362
valid_transition_7_nodes_2_byzantine_no,7,2,5,100,100,0,696
valid_transition_10_nodes_3_byzantine_no,10,3,7,100,100,0,1001
invalid_completion_4_nodes_1_byzantine_yes,4,1,3,100,0,100,481
invalid_completion_7_nodes_2_byzantine_yes,7,2,5,100,0,100,1026
invalid_completion_10_nodes_3_byzantine_yes,10,3,7,100,0,100,2422
